ID_ND	Database	PubMLST_id	NCBI_assembly_accession	Species	Isolate.Name	Aliases	Country	Continent	Region	Source	Year	Source_harmonized
ND_NC0069	NCBI	NA	GCA_028154205.1	Cronobacter dublinensis	CFSAN129044	PDT001590631.1	USA	North America		environmental swab sponge	2022	Environmental Samples
ND_NC0070	NCBI	NA	GCA_028171845.1	Cronobacter dublinensis	CFSAN129066	PDT001590993.1	USA	North America		infant formula	2022	Food and Food Ingredients
ND_NC0071	NCBI	NA	GCA_028216275.1	Cronobacter dublinensis	CFSAN129394	PDT001594974.1	USA	North America		environmental swab sponge	2022	Environmental Samples
ND_NC0072	NCBI	NA	GCA_028638895.1	Cronobacter dublinensis	CFSAN129437	PDT001615628.1	USA	North America		environmental swab sponge	2023	Environmental Samples
ND_NC0073	NCBI	NA	GCA_029228395.1	Cronobacter dublinensis	CFSAN129930	PDT001662074.1	USA	North America		environmental swab	2023	Environmental Samples
ND_NC0074	NCBI	NA	GCA_030735835.1	Cronobacter dublinensis	CFSAN133213	PDT001851110.1	USA	North America		environmental swab sponge	2023	Environmental Samples
ND_NC0075	NCBI	NA	GCA_030736055.1	Cronobacter dublinensis	CFSAN133260	PDT001851082.1	USA	North America		environmental swab sponge	2023	Environmental Samples
ND_NC0076	NCBI	NA	GCA_030736435.1	Cronobacter dublinensis	CFSAN133250	PDT001851023.1	USA	North America		environmental swab sponge	2023	Environmental Samples
ND_NC0077	NCBI	NA	GCA_030736455.1	Cronobacter dublinensis	CFSAN133265	PDT001851021.1	USA	North America		environmental swab sponge	2023	Environmental Samples
ND_NC0078	NCBI	NA	GCA_032071845.1	Cronobacter dublinensis		ASM3207184v1	USA	North America		urban	2013	Environmental Samples
ND_NC0079	NCBI	NA	GCA_032854905.1	Cronobacter dublinensis	CFSAN133872	PDT001946758.1	USA	North America		environmental swab	2023	Environmental Samples
ND_NC0080	NCBI	NA	GCA_032855605.1	Cronobacter dublinensis	CFSAN133890	PDT001946719.1	USA	North America		environmental swab	2023	Environmental Samples
ND_NC0081	NCBI	NA	GCA_032855705.1	Cronobacter dublinensis	CFSAN133886	PDT001946690.1	USA	North America		environmental swab	2023	Environmental Samples
ND_NC0082	NCBI	NA	GCA_032855805.1	Cronobacter dublinensis	CFSAN133885	PDT001946685.1	USA	North America		environmental swab	2023	Environmental Samples
ND_NC0083	NCBI	NA	GCA_032855965.1	Cronobacter dublinensis	CFSAN133859	PDT001946678.1	USA	North America		environmental swab	2023	Environmental Samples
