ID_ND	Database	PubMLST_id	NCBI_assembly_accession	Species	Isolate.Name	Aliases	Country	Continent	Region	Source	Year	Source_harmonized
ND_PM1381	PubMLST	4017	GCA_028886745.1	Cronobacter sakazakii	FDA1216050-S001-003	CFSAN129858; SRS16909658""	USA	North America	MI	Powdered infant formula	2023	Food and Food Ingredients
ND_PM1383	PubMLST	4019	GCA_024228995.1	Cronobacter sakazakii	CFSAN125198	SRS13794451	USA	North America	MI	Environmental	2022	Environmental Samples
ND_PM1384	PubMLST	4020	GCA_025530315.1	Cronobacter sakazakii	CFSAN127214	SRS15294920	USA	North America	MI	Environmental	2022	Environmental Samples
ND_PM1389	PubMLST	4025	GCA_029601775.1	Cronobacter sakazakii	CFSAN130607	SRS17239415	USA	North America	MI	Environmental	2023	Environmental Samples
ND_PM1390	PubMLST	4026	GCA_029601755.1	Cronobacter sakazakii	FDA1134874-S001-002	CFSAN130614; SRS17239573	USA	North America	MI	Environmental	2023	Environmental Samples
ND_PM1392	PubMLST	4029	GCA_030026645.1	Cronobacter sakazakii	MOD1-CDC 9368-75		USA	North America		Environmental	2023	Environmental Samples
ND_PM1393	PubMLST	4030	GCA_008830345.1	Cronobacter sakazakii	MOD1_LR691	CFSAN097727	USA	North America	IL	Food ingredient	2006	Food and Food Ingredients
ND_PM1394	PubMLST	4031	GCA_008830395.1	Cronobacter sakazakii	MOD1_LR652	CFSAN097726	USA	North America	IL	Food	2005	Food and Food Ingredients
ND_PM1397	PubMLST	4034	GCA_008805315.1	Cronobacter sakazakii	MOD1_Comp62	CFSAN097677	USA	North America	MD	Environmental	2014	Environmental Samples
ND_PM1398	PubMLST	4035	GCA_008805355.1	Cronobacter sakazakii	MOD1_Comp13	CFSAN097671	USA	North America	MD	Environmental	2014	Environmental Samples
ND_PM1399	PubMLST	4036	GCA_008805335.1	Cronobacter sakazakii	MOD1_Comp36	CFSAN097674	USA	North America	MD	Environmental	Unknown	Environmental Samples
ND_PM1400	PubMLST	4037	GCA_008805375.1	Cronobacter sakazakii	MOD1_Comp60	CFSAN097676	USA	North America	MD	Environmental	2014	Environmental Samples
ND_PM1401	PubMLST	4038	GCA_008805395.1	Cronobacter sakazakii	MOD1_Comp33	CFSAN097673	USA	North America	MD	Environmental	Unknown	Environmental Samples
ND_PM1402	PubMLST	4039	GCA_008805415.1	Cronobacter sakazakii	MOD1_Comp10	CFSAN097670	USA	North America	MD	Environmental	2014	Environmental Samples
ND_PM1403	PubMLST	4040	GCA_008805455.1	Cronobacter sakazakii	MOD1_Comp1	CFSAN097667	USA	North America	MD	Environmental	2014	Environmental Samples
ND_PM1404	PubMLST	4041	GCA_008805495.1	Cronobacter sakazakii	MOD1_Comp9	CFSAN097669	USA	North America	MD	Environmental	2014	Environmental Samples
ND_PM1405	PubMLST	4042	GCA_008830305.1	Cronobacter sakazakii	MOD1_CDC 1059-77	CFSAN097734	USA	North America		Clinical	1977	Clinical and Medical Samples
ND_PM1406	PubMLST	4043	GCA_028171585.1	Cronobacter sakazakii	CFSAN129067	SRS16583359	USA	North America	MI	Environmental	2022	Environmental Samples
ND_PM1408	PubMLST	4045	GCA_028171505.1	Cronobacter sakazakii	CFSAN129064	SRS16583529	USA	North America	MI	Environmental	2022	Environmental Samples
