ID_ND	Database	PubMLST_id	NCBI_assembly_accession	Species	Isolate Name	Aliases	Country	Continent	Region	Source	Year	Source_harmonized
ND_NC1943	NCBI	NA	GCA_033944745.1	Cronobacter sakazakii	CFSAN135202	PDT001996063.1	USA	North America	NA	botanical nutraceutical supplement	2023	Animal and Biological Sources
ND_NC1944	NCBI	NA	GCA_033944765.1	Cronobacter sakazakii	CFSAN135146	PDT001996061.1	USA	North America	NA	botanical nutraceutical supplement	2023	Animal and Biological Sources
ND_NC1945	NCBI	NA	GCA_033944805.1	Cronobacter sakazakii	CFSAN134864	PDT001996060.1	USA	North America	NA	footwear	2022	Environmental Samples
ND_NC1946	NCBI	NA	GCA_033944825.1	Cronobacter sakazakii	CFSAN134934	PDT001996059.1	USA	North America	NA	bathroom floor	2023	Environmental Samples
ND_NC1947	NCBI	NA	GCA_033944835.1	Cronobacter sakazakii	CFSAN135094	PDT001996058.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1948	NCBI	NA	GCA_033944865.1	Cronobacter sakazakii	CFSAN134880	PDT001996057.1	USA	North America	NA	vacuum dust floor sweepings	2022	Environmental Samples
ND_NC1949	NCBI	NA	GCA_033944885.1	Cronobacter sakazakii	CFSAN135142	PDT001996056.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1950	NCBI	NA	GCA_033944925.1	Cronobacter sakazakii	CFSAN134933	PDT001996053.1	USA	North America	NA	car mats	2023	Environmental Samples
ND_NC1951	NCBI	NA	GCA_033944945.1	Cronobacter sakazakii	CFSAN135088	PDT001996052.1	USA	North America	NA	grain	2023	Food and Food Ingredients
ND_NC1952	NCBI	NA	GCA_033944985.1	Cronobacter sakazakii	CFSAN135161	PDT001996051.1	USA	North America	NA	trail snack mix	2023	Food and Food Ingredients
ND_NC1953	NCBI	NA	GCA_033945005.1	Cronobacter sakazakii	CFSAN134876	PDT001996050.1	USA	North America	NA	footwear	2022	Environmental Samples
ND_NC1954	NCBI	NA	GCA_033945065.1	Cronobacter sakazakii	CFSAN135162	PDT001996048.1	USA	North America	NA	trail snack mix	2023	Food and Food Ingredients
ND_NC1955	NCBI	NA	GCA_033945075.1	Cronobacter sakazakii	CFSAN134824	PDT001996046.1	USA	North America	NA	floor	2022	Environmental Samples
ND_NC1956	NCBI	NA	GCA_033945105.1	Cronobacter sakazakii	CFSAN135021	PDT001996045.1	USA	North America	NA	grain	2023	Food and Food Ingredients
